,artists,album_name,track_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
27,Mika Singh,Entertainment (Original Motion Picture Soundtrack),Veerey Di Wedding,39,214653,0.862,0.822,7,-5.028,1,0.074,0.0722,8.58e-05,0.217,0.721,122.0,4
28,"Neha Kakkar, Mika Singh, Tanishk Bagchi","Tum Par Hum Hai Atke (From ""Pagalpanti"")","Tum Par Hum Hai Atke (From ""Pagalpanti"")",49,178619,0.765,0.95,8,-2.409,1,0.0913,0.441,1.33e-05,0.342,0.882,130.011,4
29,Mika Singh,Gabru 2,Gabru,22,275077,0.68,0.87,8,-7.274,0,0.0521,0.437,1.08e-05,0.233,0.951,171.96,4
30,"Mika Singh, Sunidhi Chauhan, Sajid Khan",Housefull,Aapka Kya Hoga (Dhanno),55,307362,0.801,0.922,1,-6.562,1,0.114,0.0638,0.000627,0.349,0.788,110.042,4
31,"MIKA, Ariana Grande",Yours Truly,Popular Song,43,200213,0.665,0.809,8,-4.574,1,0.0464,0.156,0.0,0.0613,0.811,99.029,4
32,Mika Singh,Ali Ali,Ali Ali,25,221996,0.601,0.917,11,-8.586,0,0.0405,0.000521,0.0543,0.288,0.0383,115.034,4
33,"Mika Singh, Bella",Something Something,Something Something - Club Mix,13,248026,0.731,0.869,8,-5.304,1,0.0438,0.00312,0.000104,0.296,0.732,120.014,4
34,"Mika Singh, Pritam",Apna Sapna Money Money (Original Motion Picture Soundtrack),Dil Mein Baji Guitar,57,264785,0.532,0.926,7,-6.165,1,0.155,0.506,0.0137,0.085,0.704,135.95,4
35,"Mika Singh, Manvi Khosla, Nawaz Shaikh",Roop Tera Mastana - Single,Roop Tera Mastana,21,175263,0.771,0.809,4,-5.261,1,0.123,0.187,5.37e-06,0.212,0.516,95.027,4
36,Mika Singh,Khiladi 786,Long Drive,58,268442,0.753,0.89,2,-5.022,1,0.187,0.44,6.82e-06,0.0854,0.283,87.015,4
37,Mika Singh,Mika Singh Is King,"Bhootni Ke (From ""Singh Is Kinng"") - Tiger Style Mix",8,286881,0.774,0.858,1,-4.697,1,0.0478,0.00777,0.279,0.237,0.784,129.925,4
38,"Mika Singh, Dominique Cerejo, Style Bhai",De Dana Dan (Original Motion Picture Soundtrack),Baamulaiza,52,290800,0.832,0.919,1,-5.452,1,0.0926,0.183,0.0,0.048,0.958,104.025,4
